group,fold,delta_auc,delta_logloss
drop_base_tech,1,-0.015347370291400098,0.03545991953783412
drop_base_tech,2,-0.0322009124330071,-0.08687210391264222
drop_base_tech,3,0.013076888509414408,0.015576731493483598
drop_base_tech,4,-0.047278911564625825,0.01590301717742293
drop_base_tech,5,-0.029090909090909167,0.017036083678017233
drop_macro_core,1,-0.0043532338308458485,0.07624767470798888
drop_macro_core,2,-0.007906276298888293,-0.05955483968853026
drop_macro_core,3,-0.014829461196243288,-0.015025268304189932
drop_macro_core,4,-0.023968253968253972,0.011920902918017173
drop_macro_core,5,0.007450110864745008,0.0010473703162365844
drop_teny,1,-0.027651918976545842,0.06108565305846081
drop_teny,2,-0.022079992913141777,-0.0035619744942245735
drop_teny,3,-0.0045611827618748935,-0.0057725978621046
drop_teny,4,-0.0191609977324263,0.04989871426298054
drop_teny,5,-0.0027716186252771946,0.010306533659016459
drop_cross_asset,1,-0.012171286425017858,0.06474965594150683
drop_cross_asset,2,0.02334233954909859,-0.042708887162204
drop_cross_asset,3,-0.009279647687952197,0.055462851403089375
drop_cross_asset,4,-0.013378684807256347,0.01753230738503564
drop_cross_asset,5,-0.026119733924612087,0.006583435222897505
