group,n_features,auc_mean,logloss_mean,delta_auc,delta_logloss
drop_base_tech,20,0.49447431871334635,0.836829049592378,-0.02216824297410558,-0.0005792704051769126
drop_teny,31,0.5013974194855987,0.8597995857223808,-0.015245142201853246,0.02239126572482586
drop_macro_core,28,0.5079211388015545,0.8403354879874595,-0.00872142288589739,0.0029271679899045555
drop_cross_asset,32,0.509121159028304,0.85773219255562,-0.007521402659147913,0.020323872558065115
baseline,37,0.5166425616874519,0.8374083199975549,0.0,0.0
