group,auc_drop_mean,auc_drop_std,logloss_increase_mean,logloss_increase_std
teny,0.009945005990967436,0.011925767846237776,0.006925577701247421,0.010066867586092387
base_tech,0.007818980613843729,0.011108755990064126,0.013601531715315173,0.007472808344721099
cross_asset,-0.002663676303419438,0.01053241492939468,0.002928674598736314,0.008391087199232775
macro_core,-0.008961872868598087,0.0037068511951338077,-0.006098210769908663,0.0026775301843551206
