set,n_features,auc_mean,auc_std,logloss_mean,logloss_std
tech_macro_10y_cross,37,0.516676819467541,0.024871454200973853,0.8093496209612956,0.09322211298631856
tech_plus_macro,26,0.5149030877953289,0.024464678502594303,0.8109424688163438,0.07468791834727263
tech_macro_10y,32,0.5111613447853195,0.020577144901091568,0.8213034932157692,0.08102774304814328
tech_macro_10y_cross_event,49,0.5100379649896243,0.010945066035513689,0.8241547251273161,0.06689191050547963
tech_only,17,0.5057568201353476,0.020335930008847303,0.7996987914578909,0.053704957507866996
tech_macro_event,44,0.5053599708535915,0.02588105476813375,0.8428679958717133,0.05937216757888797
tech_macro_all,53,0.5045510838080227,0.018915382471314506,0.8291668799256818,0.05059493332204688
