group,delta_auc_mean,delta_auc_std,delta_logloss_mean,delta_logloss_std,n_folds,auc_sign_consistency
drop_base_tech,-0.022168242974105558,0.022736903027586814,-0.0005792704051768682,0.04895982850071297,5,0.8
drop_teny,-0.0152451422018532,0.011019448698204842,0.022391265724825728,0.03109151803674904,5,1.0
drop_macro_core,-0.008721422885897279,0.011737099657514615,0.0029271679899044887,0.04921028567553037,5,0.8
drop_cross_asset,-0.00752140265914798,0.018422059519343954,0.02032387255806507,0.04294798981248618,5,0.8
